year,Class,F,M
11ถึง15,15M,21600.0,25500.0
11ถึง15,1M,14400.0,16400.0
11ถึง15,25M,27900.0,33400.0
11ถึง15,5M,18200.0,20200.0
16ถึง20,15M,23100.0,20100.0
16ถึง20,1M,15200.0,13500.0
16ถึง20,25M,30300.0,26200.0
16ถึง20,5M,19100.0,16500.0
21ถึง25,15M,27000.0,21600.0
21ถึง25,1M,17200.0,13700.0
21ถึง25,25M,35300.0,28000.0
21ถึง25,5M,21500.0,16900.0
26ถึง30,15M,30600.0,26100.0
26ถึง30,1M,17500.0,14700.0
26ถึง30,25M,38000.0,33800.0
26ถึง30,5M,21800.0,18300.0
31ถึง35,15M,34200.0,29400.0
31ถึง35,1M,18400.0,15100.0
31ถึง35,25M,42300.0,37800.0
31ถึง35,5M,22700.0,18900.0
36ถึง40,15M,37200.0,31800.0
36ถึง40,1M,20400.0,17000.0
36ถึง40,25M,46000.0,40900.0
36ถึง40,5M,25100.0,20800.0
41ถึง45,15M,42900.0,36000.0
41ถึง45,1M,22300.0,19200.0
41ถึง45,25M,53600.0,47300.0
41ถึง45,5M,27800.0,23800.0
46ถึง50,15M,46500.0,40200.0
46ถึง50,1M,24500.0,21600.0
46ถึง50,25M,60700.0,52400.0
46ถึง50,5M,30400.0,26700.0
51ถึง55,15M,50700.0,50100.0
51ถึง55,1M,28500.0,28300.0
51ถึง55,25M,65500.0,65300.0
51ถึง55,5M,35200.0,35000.0
56ถึง59,15M,65100.0,63900.0
56ถึง59,1M,34400.0,34100.0
56ถึง59,25M,84600.0,83000.0
56ถึง59,5M,42500.0,42300.0
60ถึง65,15M,73500.0,72300.0
60ถึง65,1M,41500.0,40900.0
60ถึง65,25M,95700.0,94100.0
60ถึง65,5M,50800.0,50600.0
66ถึง70,15M,107100.0,105000.0
66ถึง70,1M,60800.0,59400.0
66ถึง70,25M,139300.0,136700.0
66ถึง70,5M,74000.0,72100.0
71ถึง75,15M,155700.0,152100.0
71ถึง75,1M,88200.0,85400.0
71ถึง75,25M,202000.0,197800.0
71ถึง75,5M,107500.0,104000.0
76ถึง80,15M,224700.0,219900.0
76ถึง80,1M,126300.0,122900.0
76ถึง80,25M,291800.0,286300.0
76ถึง80,5M,154400.0,150000.0
81ถึง85,15M,325500.0,318300.0
81ถึง85,1M,182700.0,177800.0
81ถึง85,25M,422700.0,414700.0
81ถึง85,5M,223400.0,217100.0
86ถึง90,15M,374400.0,366000.0
86ถึง90,1M,210100.0,204500.0
86ถึง90,25M,486100.0,476900.0
86ถึง90,5M,256900.0,249700.0
91ถึง95,15M,430500.0,420900.0
91ถึง95,1M,241600.0,235200.0
91ถึง95,25M,559000.0,548400.0
91ถึง95,5M,295400.0,287200.0
96ถึง98,15M,495000.0,484200.0
96ถึง98,1M,277800.0,270500.0
96ถึง98,25M,642900.0,630700.0
96ถึง98,5M,339700.0,330300.0
