year,Class,M,F
11-20,1.6K,5400.0,5400.0
11-20,1K,4030.0,4030.0
11-20,2.2K,6160.0,6160.0
11-20,2.8K,6790.0,6790.0
11-20,3.4K,8160.0,8160.0
11-20,4K,9520.0,9520.0
11-20,5K,11960.0,11960.0
21-35,1.6K,4760.0,6200.0
21-35,1K,3560.0,4600.0
21-35,2.2K,5390.0,7040.0
21-35,2.8K,6020.0,7700.0
21-35,3.4K,7310.0,9350.0
21-35,4K,8500.0,10960.0
21-35,5K,10590.0,13630.0
36-40,1.6K,5640.0,7200.0
36-40,1K,4200.0,5660.0
36-40,2.2K,6270.0,8140.0
36-40,2.8K,7000.0,9030.0
36-40,3.4K,8330.0,10880.0
36-40,4K,9940.0,12700.0
36-40,5K,12370.0,15650.0
41-45,1.6K,6120.0,7880.0
41-45,1K,4550.0,5920.0
41-45,2.2K,6830.0,8800.0
41-45,2.8K,7630.0,9800.0
41-45,3.4K,9180.0,11730.0
41-45,4K,10760.0,13740.0
41-45,5K,13400.0,16980.0
46-50,1.6K,6600.0,8520.0
46-50,1K,4900.0,6620.0
46-50,2.2K,7370.0,9570.0
46-50,2.8K,8190.0,10500.0
46-50,3.4K,9860.0,12750.0
46-50,4K,11500.0,14820.0
46-50,5K,14170.0,18420.0
51-55,1.6K,8400.0,10800.0
51-55,1K,6240.0,8120.0
51-55,2.2K,9460.0,12210.0
51-55,2.8K,10360.0,13580.0
51-55,3.4K,12410.0,16320.0
51-55,4K,14780.0,18860.0
51-55,5K,17710.0,23690.0
56-60,1.6K,10960.0,14120.0
56-60,1K,8110.0,10540.0
56-60,2.2K,12320.0,15730.0
56-60,2.8K,13510.0,17570.0
56-60,3.4K,16490.0,21250.0
56-60,4K,19400.0,25000.0
56-60,5K,23220.0,30740.0
61-65,1.6K,14240.0,18520.0
61-65,1K,10710.0,13810.0
61-65,2.2K,16170.0,20900.0
61-65,2.8K,17850.0,23240.0
61-65,3.4K,21590.0,27710.0
61-65,4K,25160.0,32700.0
61-65,5K,30980.0,40290.0
66-70,1.6K,21200.0,27560.0
66-70,1K,15930.0,20330.0
66-70,2.2K,24090.0,31020.0
66-70,2.8K,27090.0,34660.0
66-70,3.4K,32640.0,41990.0
66-70,4K,37760.0,48200.0
66-70,5K,46620.0,60460.0
71-75,1.6K,33200.0,43160.0
71-75,1K,24870.0,31930.0
71-75,2.2K,37730.0,48730.0
71-75,2.8K,42280.0,54670.0
71-75,3.4K,50830.0,65790.0
71-75,4K,59140.0,75940.0
71-75,5K,72330.0,95250.0
76-80,1.6K,52440.0,68200.0
76-80,1K,39230.0,50560.0
76-80,2.2K,59510.0,77110.0
76-80,2.8K,66210.0,86310.0
76-80,3.4K,80240.0,103870.0
76-80,4K,93480.0,120480.0
76-80,5K,115200.0,151110.0
81-85,1.6K,73400.0,95480.0
81-85,1K,54920.0,70780.0
81-85,2.2K,83270.0,107910.0
81-85,2.8K,93380.0,120820.0
81-85,3.4K,112370.0,145350.0
81-85,4K,130880.0,168680.0
81-85,5K,161280.0,211550.0
86-90,1.6K,80740.0,105030.0
86-90,1K,60410.0,77860.0
86-90,2.2K,91610.0,118710.0
86-90,2.8K,102750.0,132920.0
86-90,3.4K,123670.0,159990.0
86-90,4K,143970.0,185550.0
86-90,5K,177410.0,232710.0
91-95,1.6K,88810.0,115330.0
91-95,1K,66450.0,85650.0
91-95,2.2K,100760.0,130570.0
91-95,2.8K,112990.0,146220.0
91-95,3.4K,135990.0,175940.0
91-95,4K,158370.0,204110.0
91-95,5K,195150.0,255980.0
96-98,1.6K,97690.0,127080.0
96-98,1K,73100.0,94220.0
96-98,2.2K,110840.0,143640.0
96-98,2.8K,124310.0,160850.0
96-98,3.4K,149590.0,193470.0
96-98,4K,174210.0,224520.0
96-98,5K,214670.0,281580.0
