year,Class,F,M
11ถึง15,200K,8500.0,10100.0
11ถึง15,300K,10500.0,12300.0
11ถึง15,400K,14400.0,16400.0
11ถึง15,500K,18200.0,20200.0
16ถึง20,200K,7400.0,7300.0
16ถึง20,300K,9700.0,8700.0
16ถึง20,400K,12000.0,10600.0
16ถึง20,500K,15000.0,13700.0
21ถึง25,200K,8600.0,6900.0
21ถึง25,300K,10600.0,8400.0
21ถึง25,400K,14400.0,10400.0
21ถึง25,500K,18100.0,13400.0
26ถึง30,200K,9100.0,7400.0
26ถึง30,300K,11300.0,8900.0
26ถึง30,400K,17100.0,13500.0
26ถึง30,500K,21000.0,16600.0
31ถึง35,200K,9200.0,7500.0
31ถึง35,300K,11700.0,9300.0
31ถึง35,400K,18000.0,14700.0
31ถึง35,500K,22700.0,18900.0
36ถึง40,200K,10400.0,8500.0
36ถึง40,300K,11900.0,10200.0
36ถึง40,400K,18500.0,15200.0
36ถึง40,500K,25100.0,20100.0
41ถึง45,200K,12100.0,10000.0
41ถึง45,300K,13800.0,11400.0
41ถึง45,400K,21700.0,17100.0
41ถึง45,500K,26500.0,21600.0
46ถึง50,200K,14300.0,11800.0
46ถึง50,300K,16000.0,13000.0
46ถึง50,400K,23200.0,18000.0
46ถึง50,500K,29200.0,24700.0
51ถึง55,200K,15500.0,15400.0
51ถึง55,300K,17200.0,17200.0
51ถึง55,400K,25600.0,24300.0
51ถึง55,500K,34100.0,30900.0
56ถึง60,200K,20800.0,20600.0
56ถึง60,300K,24400.0,24200.0
56ถึง60,400K,31000.0,30700.0
56ถึง60,500K,40900.0,40500.0
61ถึง65,200K,27600.0,27300.0
61ถึง65,300K,31300.0,31000.0
61ถึง65,400K,47500.0,47000.0
61ถึง65,500K,57200.0,56600.0
66ถึง70,200K,37900.0,37500.0
66ถึง70,300K,47600.0,47100.0
66ถึง70,400K,66600.0,65900.0
66ถึง70,500K,81800.0,81000.0
71ถึง75,200K,54200.0,53700.0
71ถึง75,300K,68100.0,67400.0
71ถึง75,400K,95300.0,94400.0
71ถึง75,500K,117000.0,115800.0
76ถึง80,200K,77700.0,76900.0
76ถึง80,300K,97600.0,96600.0
76ถึง80,400K,136600.0,135200.0
76ถึง80,500K,167300.0,165600.0
81ถึง85,200K,111300.0,110200.0
81ถึง85,300K,139900.0,138500.0
81ถึง85,400K,195700.0,193800.0
81ถึง85,500K,239200.0,236800.0
86ถึง90,200K,122400.0,121200.0
86ถึง90,300K,153900.0,152400.0
86ถึง90,400K,225100.0,222900.0
86ถึง90,500K,275100.0,272300.0
91ถึง95,200K,134600.0,133300.0
91ถึง95,300K,169300.0,167600.0
91ถึง95,400K,258900.0,256300.0
91ถึง95,500K,316400.0,313100.0
96ถึง98,200K,148100.0,146600.0
96ถึง98,300K,186200.0,184400.0
96ถึง98,400K,297700.0,294700.0
96ถึง98,500K,363900.0,360100.0
