year,Class,F,M
15ถึง15,10N,730.0,730.0
15ถึง15,10S,730.0,730.0
16ถึง35,10N,1314.0,1314.0
16ถึง35,10S,1460.0,1460.0
36ถึง40,10N,2199.0,2199.0
36ถึง40,10S,2443.0,2443.0
41ถึง45,10N,3254.0,3254.0
41ถึง45,10S,3616.0,3616.0
46ถึง50,10N,4729.0,4729.0
46ถึง50,10S,5255.0,5255.0
51ถึง55,10N,6991.0,6991.0
51ถึง55,10S,7768.0,7768.0
56ถึง60,10N,10050.0,10050.0
56ถึง60,10S,11167.0,11167.0
61ถึง65,10N,13752.0,13752.0
61ถึง65,10S,15280.0,15280.0
66ถึง70,10N,17500.0,30000.0
66ถึง70,10S,17500.0,30000.0
71ถึง75,10N,23000.0,39000.0
71ถึง75,10S,23000.0,39000.0
76ถึง79,10N,28500.0,48000.0
76ถึง79,10S,28500.0,48000.0
